store,name,price,old_price,promotion
Pick n Pay,PnP UHT Full Cream Milk 6 x 1L,89.99,98.99,
Pick n Pay,Tastic Rice 2kg,44.99,,
Pick n Pay,Fatti's & Moni's Spaghetti 500g,19.99,,2 For R30.00
Pick n Pay,PnP Full Cream Fresh Milk 2L,29.99,34.99,
Pick n Pay,PnP UHT Full Cream Milk 1L,16.99,,
Pick n Pay,Fatti's & Moni's Macaroni 500g,19.99,,2 For R30.00
Pick n Pay,Sunlight Regular Degreasing Dishwashing Liquid Detergent Refill 750ml,29.99,,
Pick n Pay,PnP Brown Sugar 2kg,44.99,63.99,
Pick n Pay,Blue Ribbon Classic White Sliced Bread 700g,19.99,,
Pick n Pay,Simba NikNaks Cheese Flavoured Maize Snack 135g,15.99,,
Pick n Pay,No Name Straight Cut Frying Potato Chips 1kg,44.99,,
Pick n Pay,Albany Superior Sliced Brown Bread 700g,16.99,,
Pick n Pay,Maggi 2 Minute Noodles Chicken Multipack 5 x 68g,39.99,,
Pick n Pay,Sasko Premium Sliced Brown Bread 700g,17.99,,
Pick n Pay,Clover UHT Full Cream Long Life Milk 6 x 1L,116.99,,
Pick n Pay,Coca-Cola Soft Drink 1.5L,20.99,,
Pick n Pay,Cadbury Dairy Milk Whole Nut Slab 80g,23.99,,
Pick n Pay,PnP All Purpose Potatoes 2kg,42.99,,
Pick n Pay,PnP Live Well Bulk Lean Beef Mince,119.99,,
Pick n Pay,Coca-Cola Plastic 2L,26.99,,2 For R42.00
Pick n Pay,Stork Country 40% Fat Spread 1kg,59.99,,
Pick n Pay,Koo Baked Beans In Tomato Sauce 400g,18.99,,2 For R30.00 (Smart Price)
Pick n Pay,Lay's Thai Sweet Chilli Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Nestle KitKat 4 Finger Milk 41.5g,15.99,,
Pick n Pay,No Name Live Well Shredded Tuna in Salt Water 170g,19.99,,2 For R36.00 (Smart Price)
Pick n Pay,Cadbury Top Deck Chocolate Slab 80g,23.99,,
Pick n Pay,Albany Superior White Sliced Bread 700g,18.99,,
Pick n Pay,Maggi 2 Minute Noodles Durban Curry Multipack 5 x 68g,39.99,,
Pick n Pay,PnP Sunflower Oil 2L,84.99,,
Pick n Pay,Wellington's New Recipe Tomato Sauce 700ml,38.99,,2 For R60.00
Pick n Pay,Lay's Salted Potato Chips 120g,23.99,,
Pick n Pay,Bokomo Weet-Bix 450g,36.99,,
Pick n Pay,No Name Baked Beans in Tomato Sauce  400g,9.99,,
Pick n Pay,Cadbury Caramel Milk Chocolate Slab 88g,23.99,,
Pick n Pay,PnP Large Eggs 18 Pack,59.99,,
Pick n Pay,Lay's Sweet & Smoky American BBQ Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Rama 70% Fat Spread Original 500g,36.99,,
Pick n Pay,Nestle Bar One Large 52g,15.99,,
Pick n Pay,Doritos Sweet Chilli Pepper 145g,23.99,,Combo For R279.99 (Smart Price)
Pick n Pay,Nescafe Original Cappuccino Sachets 10 x 18g,79.99,,2 For R110.00 (Smart Price)
Pick n Pay,PnP Full Cream Fresh Milk 1L,13.99,,
Pick n Pay,No Name Macaroni Pasta 500g,15.99,,
Pick n Pay,PnP White Sugar 2.5kg,69.99,,
Pick n Pay,Domestos Lavender Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,Lucky Star Pilchards in Tomato Sauce 400g,29.99,,
Pick n Pay,Colgate Triple Action Multibenefit Toothpaste 100ml,24.99,,
Pick n Pay,Nestle Tex Large 40g,15.99,,
Pick n Pay,PnP 2 Ply Toilet Tissue Paper 9 Pack,74.99,,
Pick n Pay,White Star Super Maize Meal 5kg,84.99,,
Pick n Pay,Rhodes Tomato Paste Sachet 50g,5.99,6.99,
Pick n Pay,PnP Butchery Oxtail,109.99,,
Pick n Pay,Nestle Cremora Creamer 750g,59.99,68.99,
Pick n Pay,No Name Frozen Chicken Braaipack 5kg,189.99,244.99,
Pick n Pay,Maggi 2 Minute Noodles Beef Multipack 5 x 68g,39.99,,
Pick n Pay,Bakers Tennis Biscuits 200g,29.99,,2 For R44.00 (Smart Price)
Pick n Pay,Jacobs Kronung Instant Coffee 200g,139.99,209.99,
Pick n Pay,PnP Bulk Country Classic Boerewors,119.99,,
Pick n Pay,No Name Pasta Spaghetti 500g,15.99,,
Pick n Pay,PnP Pork Pack,64.99,,
Pick n Pay,Jungle Oats 1kg,46.99,,R34.99 (Smart Price)
Pick n Pay,Dettol Eventone Pomegranate Hygiene Soap 175g,18.99,,2 For R28.00
Pick n Pay,No Name Mixed Vegetables 900g,39.99,,
Pick n Pay,Brookes Oros 2L,45.99,,2 For R75.00
Pick n Pay,Nestle Smarties 40g,15.99,,
Pick n Pay,PnP Live Well Maize Meal 10kg,99.99,119.99,
Pick n Pay,Dettol Soap Fresh 175g,18.99,,2 For R28.00
Pick n Pay,Simba Potato Chips Mrs Balls Chutney 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,Simba Potato Chips Salt & Vinegar 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,PnP Roller Towel White 2 Pack,27.99,,R21.99 (Smart Price)
Pick n Pay,Rhodes Baked Beans in Tomato Sauce 410g,12.99,15.99,
Pick n Pay,Kellogg's Noodles Durban Curry 5 Pack,36.99,,2 For R55.00 (Smart Price)
Pick n Pay,Lucky Star Pilchards in Hot Chilli Sauce 400g,29.99,,
